
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000765                       # Number of seconds simulated (Second)
simTicks                                    765244500                       # Number of ticks simulated (Tick)
finalTick                                   765244500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      8.37                       # Real time elapsed on the host (Second)
hostTickRate                                 91458445                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1228880                       # Number of bytes of host memory used (Byte)
simInsts                                      1534984                       # Number of instructions simulated (Count)
simOps                                        2677510                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   183452                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     319999                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          1530490                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         2992133                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     7559                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        2893485                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    701                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               322176                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            627732                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  65                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1416429                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.042803                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.241664                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    553911     39.11%     39.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    189708     13.39%     52.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    150117     10.60%     63.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    174818     12.34%     75.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     99384      7.02%     82.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    104129      7.35%     89.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     71099      5.02%     94.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     51790      3.66%     98.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     21473      1.52%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1416429                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   36212     63.96%     63.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     63.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     63.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     63.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     63.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     63.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     63.96% # attempts to use FU when none available (Count)
