cpi,LQ,SQ,l1d_size,l1i_size,l2_size,bp,ROB,IQ
0.993225,32,64,64kB,16kB,512kB,TournamentBP,192,64
0.994351,32,64,64kB,16kB,256kB,TournamentBP,192,64
0.995125,64,64,64kB,16kB,512kB,TournamentBP,192,64
0.995382,32,64,64kB,16kB,512kB,BiModeBP,192,64
0.995868,64,64,64kB,16kB,512kB,BiModeBP,192,64
0.99591,64,64,64kB,16kB,256kB,TournamentBP,192,64
0.996465,32,64,64kB,16kB,256kB,BiModeBP,192,64
0.997072,32,32,64kB,16kB,512kB,BiModeBP,192,64
0.997425,32,32,64kB,16kB,512kB,TournamentBP,192,64
0.997721,64,32,64kB,16kB,512kB,TournamentBP,192,64
